rank,handle,real_evm,source
1,"change",0x92bff72e6c943a1348aedf15d68e758e811dec64,both
2,"frankdegods",0x696d1265c8fc4f14797abebfae3c43ebfa9d8e28,both
3,"_logjam",0xdfa705fa2db5044e672d597e5eddcc11a9f2815c,alltime
4,"XVentures",0x274a38d48225256add28fb78c5e22df1fcacced7,alltime
5,"lesabre",0x06845ad055d85dfec55d7a126cd8fea30e784c01,alltime
6,"ResellCalendar",0xf7c0d9aee226b632a25b1c096d8c285ed20d55b1,alltime
7,"airtightfish",0x7e852343bfb6fae0fde911db16c8fcdca3b43bfd,alltime
8,"collectible",0xfa2b3e71486f75b6b31aa17dbd5e687f253e3111,alltime
9,"ThePrimeGreek",0x13c892fe609e9e963034bc3662cf793fd2418cac,alltime
10,"smol_intern",0x194db29f5bebacf3201abc9dbdda452116a3ff23,alltime
12,"remusofmars",0x8ab8c0843d9738885d6273dfe3de86c56eea364c,alltime
13,"Thokani",0xe6a5f7f6de90d5693fac766fca4d0d3214f95083,alltime
14,"BreakingBad",0x7b005221d66a15fb63dcd1140167fb0bf83c760c,alltime
15,"game_for_one",0xd4ba7169e9f89ffa94cbbb41b0df668eee25737d,alltime
16,"Notepad_H",0x946d3148962c48d7227824eaf299730bfd57a811,alltime
17,"surveillor",0x0cf1333e3bfaee903b9bef17fee5552d7a166539,alltime
18,"thebtcgoose",0x9337ce7e633230aa6f32e3c10d0a26aedf92a82b,alltime
19,"jeetergriffin",0x0616cf08cb13040938e3fb561f25bc5e97b0c4d4,alltime
20,"nfd",0x291137fdb1d5df3dff8238a852f777c62ab5c100,alltime
21,"GuavaGuy2001",0x40d104fe930eb4680eb61a1c7400a01e3cb76c92,alltime
22,"fibs",0x80f3b0b712a82172a67e454e313ba6e2b0e7ae64,alltime
23,"C1phervoyager",0xce7263b5af8331c3baa620db93b44522d5982e35,alltime
24,"quakerrz",0xad4095b4d1ef7ddecea527aeec3448832cf59914,alltime
25,"nosanityxbt",0x32a8afff3e4197a5044f554149a2f2e946fcd0f0,alltime
26,"notwashed",0xf0918f55b347226930d051467f6369d4a818a398,alltime
27,"AvgJoesCrypto",0x06de9c48b1e639ed5c13ec8fbd4080a38e39f2d1,alltime
28,"OinkersRUs",0x4946384166c60244cf383927bd7d2536ed2ae962,alltime
29,"pxblocito",0x578b771f5417682685338cee386a556e925fef53,alltime
30,"atom_xyz",0x24093a9b11e836f7a921d0c7c42c191ff318fdf1,alltime
31,"llonchain",0x36a1d7c9820296e9f3d816e54010d52eb98428d9,alltime
32,"wrld_sol",0xeea1a89465e31fbd95ab99b2f81ab3b974cb674e,alltime
33,"Greed",0x3ea0c92f1184b76532e33bf490deec466ee78e54,alltime
34,"letsdance",0xb08e1160b7cb55b23b0d91cc9b1081d2819ce3cc,alltime
36,"hihi33",0xa25fb7118f32e9dca8dfa41720aa99b529d50260,alltime
